               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.049921,           0.0072682,          0.00043223,             0.83517,             0.74292,             0.77257,             0.45581,            0.044491,           0.0037185,           0.0004585,          0.00069805,          0.00069805,          0.00069805
                 124,            0.050076,           0.0072703,          0.00048202,              0.8367,             0.74384,             0.77418,             0.45707,            0.044414,            0.003713,          0.00045802,          0.00069558,          0.00069558,          0.00069558
                 125,            0.050039,           0.0072273,          0.00050572,             0.83993,             0.74377,             0.77473,             0.45757,            0.044349,           0.0037092,          0.00045747,           0.0006931,           0.0006931,           0.0006931
                 126,            0.050512,           0.0073288,           0.0004696,              0.8396,             0.74457,             0.77535,             0.45795,            0.044294,           0.0037048,           0.0004564,          0.00069063,          0.00069063,          0.00069063
                 127,            0.049143,           0.0071661,          0.00046879,             0.83899,             0.74624,             0.77589,               0.459,            0.044235,           0.0037012,          0.00045581,          0.00068815,          0.00068815,          0.00068815
                 128,            0.049006,           0.0070333,           0.0004664,             0.83048,             0.75281,              0.7774,             0.46013,             0.04418,           0.0036971,          0.00045514,          0.00068568,          0.00068568,          0.00068568
                 129,            0.049723,           0.0071962,          0.00047913,             0.83856,             0.75038,             0.77876,             0.46107,            0.044124,            0.003693,          0.00045473,           0.0006832,           0.0006832,           0.0006832
                 130,            0.048841,           0.0071147,          0.00046855,              0.8366,             0.75357,             0.78027,             0.46202,            0.044058,           0.0036886,          0.00045438,          0.00068073,          0.00068073,          0.00068073
                 131,            0.049437,           0.0071515,          0.00043173,             0.83595,             0.75478,             0.78076,             0.46265,            0.043993,           0.0036837,          0.00045418,          0.00067825,          0.00067825,          0.00067825
                 132,            0.049648,           0.0070151,          0.00047853,              0.8394,             0.75491,             0.78141,             0.46355,            0.043924,           0.0036792,          0.00045376,          0.00067577,          0.00067577,          0.00067577
                 133,            0.048983,            0.007081,          0.00044856,             0.83839,             0.75753,             0.78272,             0.46425,            0.043876,           0.0036754,          0.00045315,           0.0006733,           0.0006733,           0.0006733
                 134,            0.048849,           0.0071142,          0.00045032,             0.84147,             0.75752,             0.78388,               0.465,            0.043804,           0.0036704,          0.00045218,          0.00067083,          0.00067083,          0.00067083
                 135,             0.04977,           0.0072629,          0.00049622,             0.84011,             0.75853,             0.78366,             0.46512,             0.04375,           0.0036669,          0.00045131,          0.00066835,          0.00066835,          0.00066835
                 136,            0.048708,           0.0070196,          0.00048715,             0.83987,             0.75914,             0.78442,               0.466,            0.043704,           0.0036634,          0.00045074,          0.00066588,          0.00066588,          0.00066588
                 137,            0.049121,           0.0071118,          0.00052784,             0.84237,             0.75852,             0.78487,             0.46659,            0.043651,           0.0036592,          0.00045007,           0.0006634,           0.0006634,           0.0006634
                 138,            0.049882,           0.0072528,          0.00046617,             0.84094,             0.76015,             0.78567,             0.46708,            0.043611,           0.0036564,          0.00044908,          0.00066093,          0.00066093,          0.00066093
                 139,            0.049645,           0.0071828,          0.00051126,             0.84207,             0.76205,             0.78766,             0.46783,            0.043551,           0.0036524,          0.00044844,          0.00065845,          0.00065845,          0.00065845
                 140,             0.05002,           0.0071597,          0.00060741,             0.84193,             0.76212,             0.78844,             0.46836,            0.043493,           0.0036483,          0.00044801,          0.00065598,          0.00065598,          0.00065598
                 141,            0.049026,            0.007211,          0.00053284,             0.84258,              0.7625,             0.78922,             0.46936,            0.043444,            0.003645,          0.00044718,           0.0006535,           0.0006535,           0.0006535
                 142,            0.048281,           0.0070166,          0.00048837,             0.84652,             0.76133,             0.78943,             0.46978,             0.04341,           0.0036425,           0.0004462,          0.00065102,          0.00065102,          0.00065102
                 143,            0.048008,            0.006909,          0.00048642,              0.8465,             0.76147,             0.78963,             0.47025,            0.043353,           0.0036382,          0.00044546,          0.00064855,          0.00064855,          0.00064855
                 144,            0.048969,             0.00708,          0.00048924,             0.84586,             0.76321,             0.79047,               0.471,            0.043312,           0.0036342,          0.00044488,          0.00064608,          0.00064608,          0.00064608
                 145,            0.048235,           0.0069923,          0.00048968,             0.84428,             0.76375,              0.7912,             0.47164,            0.043281,           0.0036315,          0.00044458,           0.0006436,           0.0006436,           0.0006436
                 146,            0.048259,           0.0069809,          0.00048497,              0.8477,             0.76383,             0.79208,             0.47225,            0.043223,           0.0036283,          0.00044437,          0.00064112,          0.00064112,          0.00064112
                 147,            0.047528,           0.0069161,          0.00046698,             0.84841,             0.76241,             0.79187,             0.47279,            0.043172,           0.0036248,          0.00044417,          0.00063865,          0.00063865,          0.00063865
                 148,            0.048266,           0.0069144,          0.00042282,             0.84849,             0.76383,             0.79245,             0.47389,             0.04312,           0.0036211,          0.00044406,          0.00063618,          0.00063618,          0.00063618
                 149,            0.048911,           0.0070089,          0.00044727,             0.84906,             0.76381,             0.79268,             0.47482,            0.043074,           0.0036175,          0.00044332,           0.0006337,           0.0006337,           0.0006337
                 150,            0.048846,           0.0070799,           0.0004784,             0.84747,             0.76545,             0.79378,             0.47508,            0.043042,           0.0036142,          0.00044291,          0.00063122,          0.00063122,          0.00063122
                 151,            0.048503,           0.0070089,          0.00039201,             0.84431,             0.76646,             0.79393,             0.47551,            0.042996,           0.0036107,          0.00044241,          0.00062875,          0.00062875,          0.00062875
                 152,             0.04847,           0.0069792,          0.00042478,             0.84538,             0.76761,             0.79491,              0.4764,            0.042951,           0.0036076,          0.00044187,          0.00062628,          0.00062628,          0.00062628
